PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,Class
2464.7891,843.9724,625.0685,0.6719,717.1433,0.9678,417345,1
2425.731,872.2453,597.3273,0.7287,712.0439,0.9734,409088,1
2242.1531,795.743,573.1878,0.6936,672.3322,0.9842,360723,1
2505.5481,847.0129,674.6112,0.6047,751.2921,0.9814,451720,1
2113.1379,707.908,578.8624,0.5756,612.1683,0.9402,313038,1
2443.8411,836.4046,648.322,0.6318,731.3229,0.9789,429125,1
2540.5979,918.8098,628.7631,0.7292,758.8658,0.9902,456763,1
2424.627,826.4653,654.4321,0.6107,734.619,0.9919,427310,1
2521.8469,870.0806,647.3481,0.6682,744.2197,0.9744,446419,1
2328.2771,761.6957,647.8665,0.5259,699.9044,0.9845,390794,1
2342.3311,826.6586,603.5352,0.6834,703.8265,0.9913,392486,1
2434.855,883.4255,593.9301,0.7403,718.5711,0.9785,414464,1
2406.9331,802.006,662.986,0.5627,726.0881,0.9866,419708,1
2570.7129,815.3513,679.2316,0.5532,738.8178,0.9745,439942,1
2472.636,905.2772,583.0439,0.765,722.842,0.9844,416888,1
2497.0759,886.3205,618.4668,0.7163,737.2307,0.987,432478,1
2478.1851,915.9321,587.1704,0.7675,730.9589,0.9822,427225,1
2473.9919,859.162,580.8442,0.7368,700.5299,0.9712,396843,1
2217.8301,802.2562,542.3231,0.7369,652.5018,0.9861,339100,1
2354.0039,829.4393,613.8098,0.6726,709.2893,0.9819,402402,1
2210.168,751.1333,602.6666,0.5969,667.8118,0.9844,355819,1
2531.311,883.0855,664.6406,0.6584,763.8768,0.9839,465786,1
2361.915,845.2822,571.5057,0.7368,691.2177,0.9784,383519,1
2489.5581,884.2215,593.9569,0.7408,714.8556,0.9381,427855,1
2485.04,932.6669,505.3012,0.8405,679.8051,0.956,379677,2
2250.4331,848.323,483.1063,0.822,636.4989,0.9784,325221,2
2479.239,892.5263,560.6314,0.7781,705.9813,0.9846,397557,2
2355.499,924.204,510.8777,0.8333,685.4873,0.9882,373474,2
2652.927,998.5767,442.5258,0.8964,658.4158,0.9432,360967,2
2397.759,899.7597,479.4367,0.8462,652.0684,0.9794,340983,2
2419.9121,913.3724,501.1158,0.8361,674.5396,0.9761,366103,2
2200.635,861.2217,477.5822,0.8322,638.7155,0.9749,328674,2
2315.5601,910.2367,486.0287,0.8455,664.2474,0.9851,351786,2
2324.1609,857.509,541.6883,0.7752,680.5707,0.9859,368999,2
2323.3391,908.402,502.3913,0.8331,672.1324,0.9804,361910,2
2155.959,779.7753,488.4755,0.7795,615.1208,0.9716,305852,2
2252.614,836.8517,533.9788,0.77,661.3024,0.9752,352200,2
2259.6599,888.6778,471.2458,0.8478,644.9257,0.9694,336982,2
2314.436,923.5089,441.0663,0.8786,634.2866,0.9608,328868,2
2196.303,817.7822,518.3866,0.7734,643.1474,0.9747,333319,2
2431.9409,902.0753,504.1099,0.8293,672.2517,0.9701,365893,2
2415.4199,885.6404,446.5649,0.8636,624.7411,0.9659,317373,2
2404.842,953.9807,498.8006,0.8524,686.9791,0.9802,378137,2
2263.426,922.5724,431.2169,0.884,627.1058,0.9867,313031,2
2172.677,799.2029,499.2812,0.7808,628.899,0.9778,317703,2
2230.7729,868.1721,514.5999,0.8054,666.3,0.9939,350832,2
2267.6841,881.6727,489.0849,0.832,654.0045,0.9777,343609,2
2275.9231,876.8048,473.0537,0.842,641.1726,0.9737,331585,2
2623.8569,951.4442,502.8416,0.8489,688.2133,0.9679,384342,2
2316.8181,844.9014,503.534,0.803,649.2986,0.9495,348728,2
2341.7161,898.2679,510.7881,0.8226,675.2018,0.9781,366070,2
2468.679,898.7985,505.8577,0.8266,670.2392,0.9407,375050,2
2058.97,782.1415,469.3111,0.8,604.0814,0.9843,291172,2
2311.6509,861.9067,455.7622,0.8488,623.2004,0.954,319728,2
2386.698,803.0966,519.4846,0.7626,644.3529,0.9727,335242,2
2195.2859,776.0174,450.5913,0.8142,589.1771,0.9776,278895,2
2681.0071,909.2697,510.2585,0.8277,678.7808,0.9594,377190,2
2104.054,786.5365,476.3308,0.7958,610.1537,0.979,298663,2
2386.5979,942.1682,521.4256,0.8329,700.139,0.9904,388735,2
2159.3999,831.4197,466.0862,0.8281,617.5317,0.9714,308330,2
2135.521,799.3446,485.4948,0.7944,622.4205,0.9914,306911,2
2481.958,917.0978,521.7222,0.8224,687.0032,0.9757,379925,2
2515.0081,983.1814,498.3077,0.862,697.6295,0.976,391649,2
2219.7009,832.1495,487.2321,0.8107,633.9865,0.9789,322493,2
2155.209,811.8257,503.8588,0.7841,637.7948,0.9873,323609,2
2297.4441,889.015,473.2075,0.8466,645.1458,0.9709,336684,2
2413.0229,902.8517,498.4926,0.8338,666.2322,0.9357,372583,2
2157.9819,886.1564,400.3563,0.8921,592.6548,0.9792,281736,2
2531.1399,876.8118,553.4316,0.7756,692.2264,0.9688,388480,2
2163.1311,831.9025,477.1172,0.8192,627.2662,0.9812,314953,2
2722.6831,893.1884,491.8964,0.8347,656.6061,0.9451,358287,2
2205.3831,851.6366,461.404,0.8405,624.9907,0.9737,315074,2
2409.259,941.2642,509.9813,0.8405,692.2668,0.9852,382055,2
1979.91,765.7112,444.7476,0.814,582.2601,0.9917,268512,2
2237.895,812.6631,491.8975,0.796,628.4079,0.9741,318384,2
2263.8721,861.6223,507.2628,0.8083,660.1249,0.9805,349053,2
2247.1541,868.6652,498.7621,0.8187,656.9008,0.9877,343124,2
2534.9299,964.1249,506.2896,0.851,692.6226,0.9753,386301,2
2297.5901,813.4385,573.2492,0.7095,681.3458,0.9806,371829,2
2372.927,936.3535,482.3184,0.8571,670.5345,0.9823,359483,2
2000.7679,723.755,488.6776,0.7376,592.5602,0.9792,281629,2
2462.323,886.2712,521.8904,0.8082,673.5809,0.9594,371435,2
2301.7771,901.9976,449.2205,0.8672,632.6958,0.9603,327390,2
2241.5271,822.7707,541.0915,0.7533,664.5109,0.9836,352609,2
2509.5149,999.2378,491.9224,0.8704,697.9825,0.9644,396751,2
2429.0669,878.1395,455.6671,0.8548,629.06,0.966,321718,2
2357.595,904.4373,520.1105,0.8181,683.8871,0.9868,372244,2
2147.834,843.7059,399.5622,0.8808,577.2936,0.9724,269176,2
2500.2959,1036.5886,444.3591,0.9035,671.2993,0.9426,375480,2
2544.783,897.7682,557.4372,0.7839,705.9146,0.965,405582,2
2113.0339,785.2101,497.2452,0.7739,623.613,0.9848,310166,2
2204.2451,888.2299,464.3716,0.8525,639.6149,0.9873,325458,2
2344.6541,915.7393,480.3995,0.8513,659.8346,0.9747,350834,2
2307.666,868.3939,492.134,0.8239,652.3974,0.9803,340999,2
2128.178,791.0696,492.8919,0.7822,623.181,0.9855,309501,2
2386.7781,963.5161,465.2725,0.8757,667.868,0.9867,355063,2
2206.6931,836.2029,495.7765,0.8053,642.6038,0.986,328911,2
2119.7129,722.8275,544.2319,0.6581,616.9696,0.9424,317248,2
2263.136,830.3763,511.5652,0.7877,648.0513,0.9747,338410,2
2146.249,812.8783,462.5508,0.8223,607.4139,0.979,295999,2
2425.6589,916.2908,494.7873,0.8417,668.1367,0.9612,364764,2
2423.8159,923.5928,526.172,0.8219,695.0229,0.98,387151,2
2640.3721,937.067,524.6108,0.8286,695.4277,0.9692,391899,2
